closure_id,date_key,date,start_date,end_date,entity_type,entity_name,closure_type,road_name
21,20200629,29-06-2020,29-06-2020,10-07-2020,road,Sycamore Ave,Full,Sycamore Ave
22,20200706,06-07-2020,06-07-2020,13-07-2020,road,Southwest Commuter Path,Full,Southwest Commuter Path
23,20200707,07-07-2020,07-07-2020,31-08-2020,road,Rieder Rd,Full,Rieder Rd
24,20200713,13-07-2020,13-07-2020,02-10-2020,road,Rethke Ave,Full,Rethke Ave
25,20200717,17-07-2020,17-07-2020,17-07-2020,road,W Dayton St,Full,W Dayton St
26,20200727,27-07-2020,27-07-2020,16-10-2020,road,Campbell St,Full,Campbell St
27,20200727,27-07-2020,27-07-2020,16-10-2020,road,Vilas Ave,Full,Vilas Ave
28,20200728,28-07-2020,28-07-2020,31-07-2020,road,E Doty St,Full,E Doty St
29,20200801,01-08-2020,01-08-2020,31-10-2020,road,E Dayton St,Full,E Dayton St
30,20200810,10-08-2020,10-08-2020,31-10-2020,road,E Gorham St,Partial,E Gorham St
31,20200825,25-08-2020,25-08-2020,11-09-2020,road,N Ingersoll St,Full,N Ingersoll St
32,20200826,26-08-2020,26-08-2020,25-09-2020,road,Capital City Trail,Full,Capital City Trail
33,20201011,11-10-2020,11-10-2020,17-10-2020,road,University Ave,Partial,University Ave
34,20201019,19-10-2020,19-10-2020,31-12-2020,road,S Blair St,Partial,S Blair St
35,20210223,23-02-2021,23-02-2021,23-02-2021,road,Felland Rd,Full,Felland Rd
36,20210322,22-03-2021,22-03-2021,25-03-2021,road,E Doty St,Full,E Doty St
37,20210329,29-03-2021,29-03-2021,01-10-2021,road,High St,Full,High St
38,20210329,29-03-2021,29-03-2021,01-10-2021,road,South St,Full,South St
39,20210329,29-03-2021,29-03-2021,01-10-2021,road,W Wingra St,Full,W Wingra St
40,20210405,05-04-2021,05-04-2021,15-09-2021,road,Dunning St,Full,Dunning St
41,20210405,05-04-2021,05-04-2021,15-09-2021,road,Jackson St,Full,Jackson St
42,20210405,05-04-2021,05-04-2021,15-09-2021,road,Lafollette Ae,Full,Lafollette Ae
43,20210412,12-04-2021,12-04-2021,09-05-2021,road,South Point Rd,Full,South Point Rd
44,20210419,19-04-2021,19-04-2021,28-05-2021,road,S Park St,Partial,S Park St
45,20210510,10-05-2021,10-05-2021,31-07-2021,road,E Gorham St,Partial,E Gorham St
46,20210524,24-05-2021,24-05-2021,18-06-2021,road,S Gammon Rd,Partial,S Gammon Rd
47,20210606,06-06-2021,06-06-2021,06-06-2021,road,Ride The Drive - Kennedy Park,Special Event,Ride The Drive - Kennedy Park
48,20210606,06-06-2021,06-06-2021,06-06-2021,road,Ride The Drive - Warner Park,Special Event,Ride The Drive - Warner Park
49,20210606,06-06-2021,06-06-2021,06-06-2021,road,Ride The Drive - Wingra Park,Special Event,Ride The Drive - Wingra Park
50,20210607,07-06-2021,07-06-2021,07-06-2021,road,Mineral Point Rd,Full,Mineral Point Rd
51,20210612,12-06-2021,12-06-2021,12-06-2021,road,E Johnson St,Full,E Johnson St
52,20210614,14-06-2021,14-06-2021,01-11-2021,road,Allis Ave,Full,Allis Ave
53,20210614,14-06-2021,14-06-2021,01-11-2021,road,E Dean Ave,Full,E Dean Ave
54,20210614,14-06-2021,14-06-2021,01-11-2021,road,Seth Cir,Full,Seth Cir
55,20210614,14-06-2021,14-06-2021,01-11-2021,road,Shaffer Ave,Full,Shaffer Ave
56,20210614,14-06-2021,14-06-2021,01-11-2021,road,Tyler Cir,Full,Tyler Cir
57,20210619,19-06-2021,19-06-2021,19-06-2021,road,Farmers' Market,Special Event,Farmers' Market
58,20210623,23-06-2021,23-06-2021,23-06-2021,road,Farmers' Market,Special Event,Farmers' Market
59,20210626,26-06-2021,26-06-2021,26-06-2021,road,Farmers' Market,Special Event,Farmers' Market
60,20210628,28-06-2021,28-06-2021,15-10-2021,road,Alden Dr,Full,Alden Dr
61,20210628,28-06-2021,28-06-2021,15-10-2021,road,Hillcrest Dr,Full,Hillcrest Dr
62,20210628,28-06-2021,28-06-2021,15-10-2021,road,Standish Ct,Full,Standish Ct
63,20210630,30-06-2021,30-06-2021,30-06-2021,road,Farmers' Market,Special Event,Farmers' Market
64,20210701,01-07-2021,01-07-2021,02-07-2021,road,Odana Rd,Full,Odana Rd
65,20210703,03-07-2021,03-07-2021,03-07-2021,road,Farmers' Market,Special Event,Farmers' Market
66,20210707,07-07-2021,07-07-2021,07-07-2021,road,Farmers' Market,Special Event,Farmers' Market
67,20210710,10-07-2021,10-07-2021,11-07-2021,road,Art Fair Off the Square,Special Event,Art Fair Off the Square
68,20210710,10-07-2021,10-07-2021,10-07-2021,road,Farmers' Market,Special Event,Farmers' Market
69,20210712,12-07-2021,12-07-2021,15-10-2021,road,Felland Rd,Full,Felland Rd
70,20210712,12-07-2021,12-07-2021,04-08-2021,road,S Bassett St,Full,S Bassett St
71,20210712,12-07-2021,12-07-2021,01-11-2021,road,W Washington Ave,Partial,W Washington Ave
72,20210714,14-07-2021,14-07-2021,14-07-2021,road,Farmers' Market,Special Event,Farmers' Market
73,20210715,15-07-2021,15-07-2021,30-09-2021,road,Helena St,Full,Helena St
74,20210715,15-07-2021,15-07-2021,30-09-2021,road,Jenifer St,Full,Jenifer St
75,20210715,15-07-2021,15-07-2021,18-07-2021,road,Maxwell Street Days,Special Event,Maxwell Street Days
76,20210715,15-07-2021,15-07-2021,30-09-2021,road,Russell St,Full,Russell St
77,20210717,17-07-2021,17-07-2021,17-07-2021,road,Farmers' Market,Special Event,Farmers' Market
78,20210721,21-07-2021,21-07-2021,21-07-2021,road,Farmers' Market,Special Event,Farmers' Market
79,20210722,22-07-2021,22-07-2021,06-08-2021,road,N Bassett St,Full,N Bassett St
80,20210723,23-07-2021,23-07-2021,24-07-2021,road,E Gorham St,Full,E Gorham St
81,20210723,23-07-2021,23-07-2021,27-07-2021,road,S Broom St,Full,S Broom St
82,20210724,24-07-2021,24-07-2021,24-07-2021,road,Farmers' Market,Special Event,Farmers' Market
83,20210726,26-07-2021,26-07-2021,05-11-2021,road,Hooker Ave,Full,Hooker Ave
84,20210726,26-07-2021,26-07-2021,13-08-2021,road,Old Middleton Rd,Full,Old Middleton Rd
85,20210726,26-07-2021,26-07-2021,13-08-2021,road,Old Middleton Rd,Partial,Old Middleton Rd
86,20210726,26-07-2021,26-07-2021,05-11-2021,road,Sheridan Dr,Full,Sheridan Dr
87,20210726,26-07-2021,26-07-2021,05-11-2021,road,Steensland Dr,Full,Steensland Dr
88,20210728,28-07-2021,28-07-2021,28-07-2021,road,Farmers' Market,Special Event,Farmers' Market
89,20210731,31-07-2021,31-07-2021,31-07-2021,road,Farmers' Market,Special Event,Farmers' Market
90,20210804,04-08-2021,04-08-2021,04-08-2021,road,Farmers' Market,Special Event,Farmers' Market
91,20210804,04-08-2021,04-08-2021,04-10-2021,road,W Washington Ave,Full,W Washington Ave
92,20210806,06-08-2021,06-08-2021,11-08-2021,road,S Park St,Full,S Park St
93,20210807,07-08-2021,07-08-2021,07-08-2021,road,Farmers' Market,Special Event,Farmers' Market
94,20210810,10-08-2021,10-08-2021,12-08-2021,road,S Bedford St,Partial,S Bedford St
95,20210811,11-08-2021,11-08-2021,11-08-2021,road,Farmers' Market,Special Event,Farmers' Market
96,20210814,14-08-2021,14-08-2021,14-08-2021,road,Farmers' Market,Special Event,Farmers' Market
97,20210818,18-08-2021,18-08-2021,18-08-2021,road,Farmers' Market,Special Event,Farmers' Market
98,20210818,18-08-2021,18-08-2021,22-08-2021,road,S Fair Oaks Ave,Full,S Fair Oaks Ave
99,20210819,19-08-2021,19-08-2021,19-08-2021,road,Madison Night Market,Special Event,Madison Night Market
100,20210821,21-08-2021,21-08-2021,21-08-2021,road,Farmers' Market,Special Event,Farmers' Market
101,20210825,25-08-2021,25-08-2021,25-08-2021,road,Farmers' Market,Special Event,Farmers' Market
