date_key,date,tmin,tmax,tavg,prcp,snow
20210622,22-06-2021,7.8,22.2,15,0,0
20210623,23-06-2021,13.3,25.6,19.45,1,0
20210624,24-06-2021,19.4,24.4,21.9,8.4,0
20210625,25-06-2021,20,28.3,24.15,29.2,0
20210626,26-06-2021,21.7,23.9,22.8,14.7,0
20210627,27-06-2021,18.3,25.6,21.95,0.3,0
20210628,28-06-2021,18.3,26.1,22.2,0,0
20210629,29-06-2021,20.6,25,22.8,11.7,0
20210630,30-06-2021,18.9,29.4,24.15,0,0
20210701,01-07-2021,15.6,26.7,21.15,0,0
20210702,02-07-2021,11.7,25,18.35,0,0
20210703,03-07-2021,14.4,29.4,21.9,0,0
20210704,04-07-2021,19.4,31.1,25.25,0,0
20210705,05-07-2021,22.8,31.7,27.25,0,0
20210706,06-07-2021,21.7,32.2,26.95,0,0
20210707,07-07-2021,15.6,22.8,19.2,6.4,0
20210708,08-07-2021,13.9,20.6,17.25,0,0
20210709,09-07-2021,12.2,25,18.6,0,0
20210710,10-07-2021,13.9,24.4,19.15,0,0
20210711,11-07-2021,16.1,25.6,20.85,0,0
20210712,12-07-2021,14.4,23.9,19.15,0.3,0
20210713,13-07-2021,18.3,28.3,23.3,0,0
20210714,14-07-2021,18.9,26.7,22.8,19.3,0
20210715,15-07-2021,17.8,26.7,22.25,0.5,0
20210716,16-07-2021,14.4,26.7,20.55,0,0
20210717,17-07-2021,12.8,27.2,20,0,0
20210718,18-07-2021,12.2,28.3,20.25,0,0
20210719,19-07-2021,12.2,29.4,20.8,0,0
20210720,20-07-2021,16.1,30,23.05,0,0
20210721,21-07-2021,17.8,25,21.4,0,0
20210722,22-07-2021,17.8,30,23.9,0,0
20210723,23-07-2021,21.7,31.1,26.4,0,0
20210724,24-07-2021,21.1,32.2,26.65,0,0
20210725,25-07-2021,16.1,31.1,23.6,0,0
20210726,26-07-2021,14.4,33.3,23.85,0,0
20210727,27-07-2021,19.4,30.6,25,1,0
20210728,28-07-2021,19.4,30,24.7,5.6,0
20210729,29-07-2021,18.9,31.7,25.3,7.1,0
20210730,30-07-2021,15,23.9,19.45,0,0
20210731,31-07-2021,12.2,25.6,18.9,0,0
20210801,01-08-2021,13.9,25,19.45,0,0
20210802,02-08-2021,11.1,26.1,18.6,0,0
20210803,03-08-2021,11.1,28.3,19.7,0,0
20210804,04-08-2021,13.9,28.9,21.4,0,0
20210805,05-08-2021,15.6,28.3,21.95,0.3,0
20210806,06-08-2021,20,30,25,0,0
20210807,07-08-2021,19.4,25,22.2,24.6,0
20210808,08-08-2021,20.6,31.1,25.85,0.5,0
20210809,09-08-2021,19.4,27.2,23.3,20.3,0
